Trip_ID,start_area,end_area,distance_km,time_of_day,day_of_week,weather_condition,traffic_density_level,road_type,average_speed_kmph
TRIP_00001,Bellandur,JP Nagar,9.44,Night,Weekday,Clear,Low,Main Road,37.8
TRIP_00002,Indiranagar,JP Nagar,2.15,Night,Weekend,Clear,Low,Main Road,42.7
TRIP_00003,Jayanagar,Sadashivanagar,14.54,Morning Peak,Weekday,Rain,High,Inner Road,9.7
TRIP_00004,Hebbal,Yelahanka,11.86,Night,Weekday,Clear,Low,Highway,68.5
TRIP_00005,RR Nagar,Chickpet,20.26,Afternoon,Weekday,Fog,Medium,Highway,30.3
TRIP_00006,Jayanagar,Yelahanka,5.26,Evening Peak,Weekend,Clear,Medium,Highway,51.7
TRIP_00007,Whitefield,Banashankari,8.57,Morning Peak,Weekend,Clear,Very High,Inner Road,7.6
TRIP_00008,RR Nagar,Yelahanka,17.53,Evening Peak,Weekday,Clear,Medium,Main Road,37.3
TRIP_00009,Kempegowda International Airport,Marathahalli,11.0,Evening Peak,Weekday,Heatwave,High,Highway,39.7
TRIP_00010,Bellandur,Jayanagar,13.24,Evening Peak,Weekday,Clear,High,Main Road,23.6
TRIP_00011,Chickpet,Rajajinagar,11.29,Morning Peak,Weekend,Clear,High,Main Road,24.8
TRIP_00012,BTM Layout,Banashankari,3.05,Afternoon,Weekend,Clear,Low,Main Road,56.4
TRIP_00013,RR Nagar,Basavanagudi,26.64,Morning Peak,Weekday,Clear,Very High,Highway,16.3
TRIP_00014,Peenya,Sadashivanagar,21.87,Morning Peak,Weekday,Clear,Very High,Main Road,10.2
TRIP_00015,Indiranagar,Kempegowda International Airport,13.13,Morning Peak,Weekend,Clear,Low,Main Road,58.1
TRIP_00016,Sadashivanagar,Koramangala,18.43,Afternoon,Weekday,Rain,Medium,Highway,43.9
TRIP_00017,Yelahanka,Peenya,23.01,Evening Peak,Weekend,Clear,Low,Main Road,45.0
TRIP_00018,Whitefield,Hebbal,21.94,Night,Weekend,Clear,Medium,Main Road,36.8
TRIP_00019,Marathahalli,Kempegowda International Airport,11.0,Afternoon,Weekday,Rain,High,Main Road,19.3
TRIP_00020,Koramangala,Electronic City,5.2,Evening Peak,Weekday,Clear,Very High,Highway,16.3
TRIP_00021,Electronic City,Yelahanka,20.8,Evening Peak,Weekday,Clear,Very High,Highway,21.7
TRIP_00022,NIMHANS,Indiranagar,3.26,Morning Peak,Weekend,Clear,High,Inner Road,17.4
TRIP_00023,Marathahalli,Sadashivanagar,21.24,Morning Peak,Weekday,Rain,Medium,Main Road,32.2
TRIP_00024,Sadashivanagar,KR Puram,10.5,Night,Weekend,Heatwave,Low,Highway,79.8
TRIP_00025,Indiranagar,RR Nagar,28.43,Evening Peak,Weekday,Rain,Very High,Highway,12.5
TRIP_00026,Rajajinagar,NIMHANS,17.0,Afternoon,Weekday,Fog,High,Main Road,15.9
TRIP_00027,MG Road,Electronic City,9.83,Evening Peak,Weekend,Heatwave,Medium,Main Road,26.8
TRIP_00028,Indiranagar,NIMHANS,3.26,Morning Peak,Weekday,Clear,High,Main Road,27.2
TRIP_00029,Koramangala,KR Puram,16.26,Morning Peak,Weekday,Rain,Medium,Highway,47.8
TRIP_00030,HSR Layout,Kempegowda International Airport,10.32,Morning Peak,Weekday,Clear,High,Main Road,19.0
TRIP_00031,Indiranagar,Frazer Town,14.87,Morning Peak,Weekend,Rain,Medium,Main Road,24.6
TRIP_00032,HSR Layout,Marathahalli,15.91,Morning Peak,Weekday,Clear,Medium,Highway,64.9
TRIP_00033,JP Nagar,Bellandur,9.44,Afternoon,Weekday,Rain,Low,Inner Road,25.4
TRIP_00034,MG Road,Whitefield,12.67,Evening Peak,Weekday,Clear,Very High,Highway,20.2
TRIP_00035,MG Road,Malleshwaram,3.42,Evening Peak,Weekend,Rain,High,Inner Road,7.8
